Date;Filière;Valeur (TWh);Nature
2010-01;"Production thermique fossile";8,802;Données Consolidées
2010-02;"Production thermique fossile";6,822;Données Consolidées
2010-03;"Production thermique fossile";7,25;Données Consolidées
2010-04;"Production thermique fossile";3,568;Données Consolidées
2010-05;"Production thermique fossile";2,843;Données Consolidées
2010-06;"Production thermique fossile";2,367;Données Consolidées
2010-07;"Production thermique fossile";2,953;Données Consolidées
2010-08;"Production thermique fossile";1,58;Données Consolidées
2010-09;"Production thermique fossile";2,964;Données Consolidées
2010-10;"Production thermique fossile";4,713;Données Consolidées
2010-11;"Production thermique fossile";7,024;Données Consolidées
2010-12;"Production thermique fossile";8,597;Données Consolidées
2011-01;"Production thermique fossile";6,599;Données Consolidées
2011-02;"Production thermique fossile";6,553;Données Consolidées
2011-03;"Production thermique fossile";6,807;Données Consolidées
2011-04;"Production thermique fossile";2,888;Données Consolidées
2011-05;"Production thermique fossile";3,227;Données Consolidées
2011-06;"Production thermique fossile";1,974;Données Consolidées
2011-07;"Production thermique fossile";1,673;Données Consolidées
2011-08;"Production thermique fossile";1,806;Données Consolidées
2011-09;"Production thermique fossile";2,749;Données Consolidées
2011-10;"Production thermique fossile";4,673;Données Consolidées
2011-11;"Production thermique fossile";7,08;Données Consolidées
2011-12;"Production thermique fossile";5,475;Données Consolidées
2012-01;"Production thermique fossile";5,399;Données Consolidées
2012-02;"Production thermique fossile";8,721;Données Consolidées
2012-03;"Production thermique fossile";5,276;Données Consolidées
2012-04;"Production thermique fossile";3,484;Données Consolidées
2012-05;"Production thermique fossile";1,771;Données Consolidées
2012-06;"Production thermique fossile";2,219;Données Consolidées
2012-07;"Production thermique fossile";2,221;Données Consolidées
2012-08;"Production thermique fossile";2,534;Données Consolidées
2012-09;"Production thermique fossile";2,449;Données Consolidées
2012-10;"Production thermique fossile";3,517;Données Consolidées
2012-11;"Production thermique fossile";5,19;Données Consolidées
2012-12;"Production thermique fossile";5,319;Données Consolidées
2013-01;"Production thermique fossile";6,301;Données Consolidées
2013-02;"Production thermique fossile";6,357;Données Consolidées
2013-03;"Production thermique fossile";6,27;Données Consolidées
2013-04;"Production thermique fossile";2,983;Données Consolidées
