Date;Filière;Valeur (TWh);Nature
2007-01;"Production solaire";;Données Consolidées
2007-02;"Production solaire";;Données Consolidées
2007-03;"Production solaire";;Données Consolidées
2007-04;"Production solaire";;Données Consolidées
2007-05;"Production solaire";;Données Consolidées
2007-06;"Production solaire";;Données Consolidées
2007-07;"Production solaire";;Données Consolidées
2007-08;"Production solaire";;Données Consolidées
2007-09;"Production solaire";;Données Consolidées
2007-10;"Production solaire";;Données Consolidées
2007-11;"Production solaire";;Données Consolidées
2007-12;"Production solaire";;Données Consolidées
2008-01;"Production solaire";0,00128734;Données Consolidées
2008-02;"Production solaire";0,00154282;Données Consolidées
2008-03;"Production solaire";0,00173701;Données Consolidées
2008-04;"Production solaire";0,00204809;Données Consolidées
2008-05;"Production solaire";0,00203494;Données Consolidées
2008-06;"Production solaire";0,00209387;Données Consolidées
2008-07;"Production solaire";0,00297275;Données Consolidées
2008-08;"Production solaire";0,00273997;Données Consolidées
2008-09;"Production solaire";0,00292205;Données Consolidées
2008-10;"Production solaire";0,00253324;Données Consolidées
2008-11;"Production solaire";0,00202054;Données Consolidées
2008-12;"Production solaire";0,00187128;Données Consolidées
2009-01;"Production solaire";0,005;Données Consolidées
2009-02;"Production solaire";0,007;Données Consolidées
2009-03;"Production solaire";0,012;Données Consolidées
2009-04;"Production solaire";0,012;Données Consolidées
2009-05;"Production solaire";0,016;Données Consolidées
2009-06;"Production solaire";0,018;Données Consolidées
2009-07;"Production solaire";0,021;Données Consolidées
2009-08;"Production solaire";0,021;Données Consolidées
2009-09;"Production solaire";0,018;Données Consolidées
2009-10;"Production solaire";0,015;Données Consolidées
2009-11;"Production solaire";0,009;Données Consolidées
2009-12;"Production solaire";0,007;Données Consolidées
2010-01;"Production solaire";0,01;Données Consolidées
2010-02;"Production solaire";0,016;Données Consolidées
2010-03;"Production solaire";0,031;Données Consolidées
2010-04;"Production solaire";0,045;Données Consolidées
2010-05;"Production solaire";0,054;Données Consolidées
2010-06;"Production solaire";0,055;Données Consolidées
2010-07;"Production solaire";0,069;Données Consolidées
2010-08;"Production solaire";0,074;Données Consolidées
2010-09;"Production solaire";0,074;Données Consolidées
2010-10;"Production solaire";0,058;Données Consolidées
2010-11;"Production solaire";0,032;Données Consolidées
2010-12;"Production solaire";0,03;Données Consolidées
2011-01;"Production solaire";0,048;Données Consolidées
2011-02;"Production solaire";0,066;Données Consolidées
2011-03;"Production solaire";0,126;Données Consolidées
2011-04;"Production solaire";0,19;Données Consolidées
2011-05;"Production solaire";0,225;Données Consolidées
2011-06;"Production solaire";0,214;Données Consolidées
2011-07;"Production solaire";0,249;Données Consolidées
2011-08;"Production solaire";0,271;Données Consolidées
2011-09;"Production solaire";0,251;Données Consolidées
2011-10;"Production solaire";0,208;Données Consolidées
2011-11;"Production solaire";0,12;Données Consolidées
2011-12;"Production solaire";0,099;Données Consolidées
2012-01;"Production solaire";0,125;Données Consolidées
2012-02;"Production solaire";0,216;Données Consolidées
2012-03;"Production solaire";0,356;Données Consolidées
2012-04;"Production solaire";0,329;Données Consolidées
2012-05;"Production solaire";0,454;Données Consolidées
2012-06;"Production solaire";0,483;Données Consolidées
2012-07;"Production solaire";0,544;Données Consolidées
2012-08;"Production solaire";0,536;Données Consolidées
2012-09;"Production solaire";0,413;Données Consolidées
2012-10;"Production solaire";0,283;Données Consolidées
2012-11;"Production solaire";0,182;Données Consolidées
2012-12;"Production solaire";0,149;Données Consolidées
2013-01;"Production solaire";0,146;Données Consolidées
2013-02;"Production solaire";0,23;Données Consolidées
2013-03;"Production solaire";0,344;Données Consolidées
2013-04;"Production solaire";0,434;Données Consolidées
2013-05;"Production solaire";0,503;Données Consolidées
2013-06;"Production solaire";0,563;Données Consolidées
2013-07;"Production solaire";0,658;Données Consolidées
2013-08;"Production solaire";0,602;Données Consolidées
2013-09;"Production solaire";0,463;Données Consolidées
2013-10;"Production solaire";0,32;Données Consolidées
2013-11;"Production solaire";0,183;Données Consolidées
2013-12;"Production solaire";0,216;Données Consolidées
2014-01;"Production solaire";0,176269528;Données Consolidées
2014-02;"Production solaire";0,262552421;Données Consolidées
2014-03;"Production solaire";0,53408534;Données Consolidées
