Date;Filière;Valeur (TWh);Nature
2010-01;"Production thermique renouvelable et déchets";0,422;Données Consolidées
2010-02;"Production thermique renouvelable et déchets";0,386;Données Consolidées
2010-03;"Production thermique renouvelable et déchets";0,429;Données Consolidées
2010-04;"Production thermique renouvelable et déchets";0,37;Données Consolidées
2010-05;"Production thermique renouvelable et déchets";0,408;Données Consolidées
2010-06;"Production thermique renouvelable et déchets";0,377;Données Consolidées
2010-07;"Production thermique renouvelable et déchets";0,4;Données Consolidées
2010-08;"Production thermique renouvelable et déchets";0,421;Données Consolidées
2010-09;"Production thermique renouvelable et déchets";0,359;Données Consolidées
2010-10;"Production thermique renouvelable et déchets";0,361;Données Consolidées
2010-11;"Production thermique renouvelable et déchets";0,457;Données Consolidées
2010-12;"Production thermique renouvelable et déchets";0,462;Données Consolidées
2011-01;"Production thermique renouvelable et déchets";0,477;Données Consolidées
2011-02;"Production thermique renouvelable et déchets";0,433;Données Consolidées
2011-03;"Production thermique renouvelable et déchets";0,51;Données Consolidées
2011-04;"Production thermique renouvelable et déchets";0,413;Données Consolidées
2011-05;"Production thermique renouvelable et déchets";0,426;Données Consolidées
2011-06;"Production thermique renouvelable et déchets";0,421;Données Consolidées
2011-07;"Production thermique renouvelable et déchets";0,485;Données Consolidées
2011-08;"Production thermique renouvelable et déchets";0,481;Données Consolidées
2011-09;"Production thermique renouvelable et déchets";0,418;Données Consolidées
2011-10;"Production thermique renouvelable et déchets";0,404;Données Consolidées
2011-11;"Production thermique renouvelable et déchets";0,487;Données Consolidées
2011-12;"Production thermique renouvelable et déchets";0,509;Données Consolidées
2012-01;"Production thermique renouvelable et déchets";0,514;Données Consolidées
2012-02;"Production thermique renouvelable et déchets";0,453;Données Consolidées
2012-03;"Production thermique renouvelable et déchets";0,532;Données Consolidées
2012-04;"Production thermique renouvelable et déchets";0,405;Données Consolidées
2012-05;"Production thermique renouvelable et déchets";0,468;Données Consolidées
2012-06;"Production thermique renouvelable et déchets";0,437;Données Consolidées
2012-07;"Production thermique renouvelable et déchets";0,514;Données Consolidées
2012-08;"Production thermique renouvelable et déchets";0,486;Données Consolidées
2012-09;"Production thermique renouvelable et déchets";0,47;Données Consolidées
2012-10;"Production thermique renouvelable et déchets";0,45;Données Consolidées
2012-11;"Production thermique renouvelable et déchets";0,514;Données Consolidées
2012-12;"Production thermique renouvelable et déchets";0,525;Données Consolidées
2013-01;"Production thermique renouvelable et déchets";0,654;Données Consolidées
2013-02;"Production thermique renouvelable et déchets";0,595;Données Consolidées
2013-03;"Production thermique renouvelable et déchets";0,643;Données Consolidées
2013-04;"Production thermique renouvelable et déchets";0,469;Données Consolidées
2013-05;"Production thermique renouvelable et déchets";0,537;Données Consolidées
2013-06;"Production thermique renouvelable et déchets";0,509;Données Consolidées
2013-07;"Production thermique renouvelable et déchets";0,577;Données Consolidées
2013-08;"Production thermique renouvelable et déchets";0,584;Données Consolidées
2013-09;"Production thermique renouvelable et déchets";0,525;Données Consolidées
2013-10;"Production thermique renouvelable et déchets";0,607;Données Consolidées
2013-11;"Production thermique renouvelable et déchets";0,663;Données Consolidées
2013-12;"Production thermique renouvelable et déchets";0,681;Données Consolidées
2014-01;"Production thermique renouvelable et déchets";0,62317750476;Données Consolidées
2014-02;"Production thermique renouvelable et déchets";0,571703454394;Données Consolidées
2014-03;"Production thermique renouvelable et déchets";0,617816473595;Données Consolidées
2014-04;"Production thermique renouvelable et déchets";0,532218103217;Données Consolidées
2014-05;"Production thermique renouvelable et déchets";0,607583116075;Données Consolidées
2014-06;"Production thermique renouvelable et déchets";0,531292348289;Données Consolidées
2014-07;"Production thermique renouvelable et déchets";0,596770141244;Données Consolidées
2014-08;"Production thermique renouvelable et déchets";0,588904145109;Données Consolidées
2014-09;"Production thermique renouvelable et déchets";0,54681935572;Données Consolidées
2014-10;"Production thermique renouvelable et déchets";0,562182227613;Données Consolidées
2014-11;"Production thermique renouvelable et déchets";0,646019676643;Données Consolidées
2014-12;"Production thermique renouvelable et déchets";0,670007762376;Données Consolidées
2015-01;"Production thermique renouvelable et déchets";0,671880527741;Données Consolidées
2015-02;"Production thermique renouvelable et déchets";0,617985990029;Données Consolidées
2015-03;"Production thermique renouvelable et déchets";0,676755198209;Données Consolidées
2015-04;"Production thermique renouvelable et déchets";0,571243585832;Données Consolidées
2015-05;"Production thermique renouvelable et déchets";0,625299532673;Données Consolidées
2015-06;"Production thermique renouvelable et déchets";0,587373750828;Données Consolidées
2015-07;"Production thermique renouvelable et déchets";0,64228931539;Données Consolidées
2015-08;"Production thermique renouvelable et déchets";0,655699488697;Données Consolidées
2015-09;"Production thermique renouvelable et déchets";0,630032062652;Données Consolidées
2015-10;"Production thermique renouvelable et déchets";0,613532084185;Données Consolidées
2015-11;"Production thermique renouvelable et déchets";0,699571102105;Données Consolidées
2015-12;"Production thermique renouvelable et déchets";0,732330738628;Données Consolidées
2016-01;"Production thermique renouvelable et déchets";0,756720545339;Données Consolidées
2016-02;"Production thermique renouvelable et déchets";0,70423848651;Données Consolidées
2016-03;"Production thermique renouvelable et déchets";0,754648901005;Données Consolidées
2016-04;"Production thermique renouvelable et déchets";0,678449288401;Données Consolidées
2016-05;"Production thermique renouvelable et déchets";0,707379474526;Données Consolidées
2016-06;"Production thermique renouvelable et déchets";0,64421161937;Données Consolidées
2016-07;"Production thermique renouvelable et déchets";0,742567222168;Données Consolidées
2016-08;"Production thermique renouvelable et déchets";0,719655377471;Données Consolidées
2016-09;"Production thermique renouvelable et déchets";0,674823312338;Données Consolidées
2016-10;"Production thermique renouvelable et déchets";0,667293653501;Données Consolidées
2016-11;"Production thermique renouvelable et déchets";0,767660643912;Données Consolidées
2016-12;"Production thermique renouvelable et déchets";0,80163016314;Données Consolidées
2017-01;"Production thermique renouvelable et déchets";0,801395076534;Données Consolidées
2017-02;"Production thermique renouvelable et déchets";0,712080973213;Données Consolidées
2017-03;"Production thermique renouvelable et déchets";0,767457445528;Données Consolidées
2017-04;"Production thermique renouvelable et déchets";0,722630716262;Données Consolidées
2017-05;"Production thermique renouvelable et déchets";0,73256801597;Données Consolidées
2017-06;"Production thermique renouvelable et déchets";0,750254790517;Données Consolidées
2017-07;"Production thermique renouvelable et déchets";0,813360791275;Données Consolidées
2017-08;"Production thermique renouvelable et déchets";0,781480092109;Données Consolidées
2017-09;"Production thermique renouvelable et déchets";0,760735895582;Données Consolidées
2017-10;"Production thermique renouvelable et déchets";0,755003744197;Données Consolidées
2017-11;"Production thermique renouvelable et déchets";0,841524252896;Données Consolidées
2017-12;"Production thermique renouvelable et déchets";0,819882783334;Données Consolidées
2018-01;"Production thermique renouvelable et déchets";0,784132089676;Données Consolidées
2018-02;"Production thermique renouvelable et déchets";0,758996429669;Données Consolidées
2018-03;"Production thermique renouvelable et déchets";0,788302171756;Données Consolidées
2018-04;"Production thermique renouvelable et déchets";0,790853006175;Données Consolidées
2018-05;"Production thermique renouvelable et déchets";0,81268000924;Données Consolidées
2018-06;"Production thermique renouvelable et déchets";0,727381444149;Données Consolidées
2018-07;"Production thermique renouvelable et déchets";0,815800305188;Données Consolidées
2018-08;"Production thermique renouvelable et déchets";0,806026906496;Données Consolidées
2018-09;"Production thermique renouvelable et déchets";0,799878679723;Données Consolidées
2018-10;"Production thermique renouvelable et déchets";0,766032110777;Données Consolidées
2018-11;"Production thermique renouvelable et déchets";0,783739427479;Données Consolidées
2018-12;"Production thermique renouvelable et déchets";0,831462068663;Données Consolidées
2019-01;"Production thermique renouvelable et déchets";0,824839011534;Données Consolidées
2019-02;"Production thermique renouvelable et déchets";0,75694036229;Données Consolidées
2019-03;"Production thermique renouvelable et déchets";0,841685305073;Données Consolidées
2019-04;"Production thermique renouvelable et déchets";0,745673100562;Données Consolidées
2019-05;"Production thermique renouvelable et déchets";0,813325703241;Données Consolidées
2019-06;"Production thermique renouvelable et déchets";0,717076125493;Données Consolidées
