Date;Filière;Valeur (TWh);Nature
1995-01;"Nucléaire";36,909;Données Consolidées
1995-02;"Nucléaire";30,157;Données Consolidées
1995-03;"Nucléaire";32,737;Données Consolidées
1995-04;"Nucléaire";29,125;Données Consolidées
1995-05;"Nucléaire";26,749;Données Consolidées
1995-06;"Nucléaire";25,495;Données Consolidées
1995-07;"Nucléaire";26,685;Données Consolidées
1995-08;"Nucléaire";27,486;Données Consolidées
1995-09;"Nucléaire";26,508;Données Consolidées
1995-10;"Nucléaire";29,582;Données Consolidées
1995-11;"Nucléaire";32,815;Données Consolidées
1995-12;"Nucléaire";34,531;Données Consolidées
1996-01;"Nucléaire";36,782;Données Consolidées
1996-02;"Nucléaire";34,024;Données Consolidées
1996-03;"Nucléaire";34,341;Données Consolidées
1996-04;"Nucléaire";31,693;Données Consolidées
1996-05;"Nucléaire";28,81;Données Consolidées
1996-06;"Nucléaire";26,22;Données Consolidées
1996-07;"Nucléaire";28,556;Données Consolidées
1996-08;"Nucléaire";28,291;Données Consolidées
1996-09;"Nucléaire";29,29;Données Consolidées
1996-10;"Nucléaire";32,395;Données Consolidées
1996-11;"Nucléaire";33,218;Données Consolidées
1996-12;"Nucléaire";34,605;Données Consolidées
1997-01;"Nucléaire";35,313;Données Consolidées
1997-02;"Nucléaire";31,136;Données Consolidées
1997-03;"Nucléaire";32,66;Données Consolidées
1997-04;"Nucléaire";33,205;Données Consolidées
1997-05;"Nucléaire";29,722;Données Consolidées
1997-06;"Nucléaire";27,728;Données Consolidées
1997-07;"Nucléaire";28,69;Données Consolidées
1997-08;"Nucléaire";27,994;Données Consolidées
1997-09;"Nucléaire";28,908;Données Consolidées
1997-10;"Nucléaire";32,644;Données Consolidées
1997-11;"Nucléaire";33,259;Données Consolidées
1997-12;"Nucléaire";34,676;Données Consolidées
1998-01;"Nucléaire";36,954;Données Consolidées
1998-02;"Nucléaire";33,565;Données Consolidées
1998-03;"Nucléaire";34,315;Données Consolidées
1998-04;"Nucléaire";29,984;Données Consolidées
1998-05;"Nucléaire";28,369;Données Consolidées
1998-06;"Nucléaire";27,214;Données Consolidées
1998-07;"Nucléaire";27,803;Données Consolidées
1998-08;"Nucléaire";24,47;Données Consolidées
1998-09;"Nucléaire";27,45;Données Consolidées
1998-10;"Nucléaire";31,551;Données Consolidées
1998-11;"Nucléaire";32,598;Données Consolidées
1998-12;"Nucléaire";34,227;Données Consolidées
1999-01;"Nucléaire";36,266;Données Consolidées
1999-02;"Nucléaire";32,072;Données Consolidées
1999-03;"Nucléaire";32,785;Données Consolidées
1999-04;"Nucléaire";31,826;Données Consolidées
1999-05;"Nucléaire";26,807;Données Consolidées
1999-06;"Nucléaire";27,098;Données Consolidées
1999-07;"Nucléaire";29,901;Données Consolidées
1999-08;"Nucléaire";28,715;Données Consolidées
1999-09;"Nucléaire";29,687;Données Consolidées
1999-10;"Nucléaire";32,075;Données Consolidées
1999-11;"Nucléaire";32,92;Données Consolidées
1999-12;"Nucléaire";34,762;Données Consolidées
2000-01;"Nucléaire";36,298;Données Consolidées
2000-02;"Nucléaire";33,699;Données Consolidées
2000-03;"Nucléaire";35,869;Données Consolidées
2000-04;"Nucléaire";32,216;Données Consolidées
2000-05;"Nucléaire";30,667;Données Consolidées
2000-06;"Nucléaire";29,45;Données Consolidées
2000-07;"Nucléaire";31,112;Données Consolidées
2000-08;"Nucléaire";30,301;Données Consolidées
2000-09;"Nucléaire";31,039;Données Consolidées
2000-10;"Nucléaire";33,379;Données Consolidées
2000-11;"Nucléaire";34,639;Données Consolidées
2000-12;"Nucléaire";36,531;Données Consolidées
2001-01;"Nucléaire";38,723;Données Consolidées
2001-02;"Nucléaire";33,166;Données Consolidées
2001-03;"Nucléaire";33,605;Données Consolidées
2001-04;"Nucléaire";31,417;Données Consolidées
2001-05;"Nucléaire";28,757;Données Consolidées
2001-06;"Nucléaire";28,39;Données Consolidées
2001-07;"Nucléaire";31,032;Données Consolidées
2001-08;"Nucléaire";30,607;Données Consolidées
2001-09;"Nucléaire";32,756;Données Consolidées
2001-10;"Nucléaire";35,628;Données Consolidées
2001-11;"Nucléaire";37,051;Données Consolidées
2001-12;"Nucléaire";38,453;Données Consolidées
2002-01;"Nucléaire";40,003;Données Consolidées
2002-02;"Nucléaire";34,316;Données Consolidées
2002-03;"Nucléaire";35,481;Données Consolidées
2002-04;"Nucléaire";35,513;Données Consolidées
2002-05;"Nucléaire";33,522;Données Consolidées
2002-06;"Nucléaire";31,07;Données Consolidées
2002-07;"Nucléaire";32,89;Données Consolidées
2002-08;"Nucléaire";30,347;Données Consolidées
2002-09;"Nucléaire";32,104;Données Consolidées
2002-10;"Nucléaire";35,087;Données Consolidées
2002-11;"Nucléaire";36,195;Données Consolidées
2002-12;"Nucléaire";38,987;Données Consolidées
2003-01;"Nucléaire";40,335;Données Consolidées
2003-02;"Nucléaire";36,454;Données Consolidées
2003-03;"Nucléaire";35,837;Données Consolidées
2003-04;"Nucléaire";34,449;Données Consolidées
2003-05;"Nucléaire";32,444;Données Consolidées
2003-06;"Nucléaire";30,969;Données Consolidées
2003-07;"Nucléaire";33,132;Données Consolidées
2003-08;"Nucléaire";29,972;Données Consolidées
2003-09;"Nucléaire";31,437;Données Consolidées
2003-10;"Nucléaire";35,451;Données Consolidées
2003-11;"Nucléaire";37,666;Données Consolidées
2003-12;"Nucléaire";41,668;Données Consolidées
2004-01;"Nucléaire";41,764;Données Consolidées
2004-02;"Nucléaire";36,195;Données Consolidées
2004-03;"Nucléaire";36,113;Données Consolidées
2004-04;"Nucléaire";33,943;Données Consolidées
2004-05;"Nucléaire";32,039;Données Consolidées
2004-06;"Nucléaire";30,499;Données Consolidées
2004-07;"Nucléaire";32,408;Données Consolidées
2004-08;"Nucléaire";30,449;Données Consolidées
2004-09;"Nucléaire";33,064;Données Consolidées
2004-10;"Nucléaire";37,584;Données Consolidées
2004-11;"Nucléaire";39,283;Données Consolidées
2004-12;"Nucléaire";43,542;Données Consolidées
2005-01;"Nucléaire";42,475;Données Consolidées
2005-02;"Nucléaire";36,432;Données Consolidées
2005-03;"Nucléaire";36,777;Données Consolidées
2005-04;"Nucléaire";33,286;Données Consolidées
2005-05;"Nucléaire";33,345;Données Consolidées
2005-06;"Nucléaire";32,849;Données Consolidées
2005-07;"Nucléaire";32,109;Données Consolidées
2005-08;"Nucléaire";33,132;Données Consolidées
2005-09;"Nucléaire";33,41;Données Consolidées
2005-10;"Nucléaire";35,715;Données Consolidées
2005-11;"Nucléaire";38,395;Données Consolidées
2005-12;"Nucléaire";42,053;Données Consolidées
2006-01;"Nucléaire";42,768;Données Consolidées
2006-02;"Nucléaire";35,118;Données Consolidées
2006-03;"Nucléaire";35,324;Données Consolidées
2006-04;"Nucléaire";35,88;Données Consolidées
2006-05;"Nucléaire";33,949;Données Consolidées
2006-06;"Nucléaire";32,834;Données Consolidées
2006-07;"Nucléaire";32,9;Données Consolidées
2006-08;"Nucléaire";32,698;Données Consolidées
2006-09;"Nucléaire";33,831;Données Consolidées
2006-10;"Nucléaire";35,706;Données Consolidées
2006-11;"Nucléaire";37,249;Données Consolidées
2006-12;"Nucléaire";40,408;Données Consolidées
2007-01;"Nucléaire";40,872;Données Consolidées
2007-02;"Nucléaire";36,169;Données Consolidées
2007-03;"Nucléaire";36,738;Données Consolidées
2007-04;"Nucléaire";31,721;Données Consolidées
2007-05;"Nucléaire";31,803;Données Consolidées
2007-06;"Nucléaire";30,865;Données Consolidées
2007-07;"Nucléaire";31,819;Données Consolidées
2007-08;"Nucléaire";32,611;Données Consolidées
2007-09;"Nucléaire";33,301;Données Consolidées
2007-10;"Nucléaire";36,896;Données Consolidées
2007-11;"Nucléaire";35,806;Données Consolidées
2007-12;"Nucléaire";40,008;Données Consolidées
2008-01;"Nucléaire";40,922;Données Consolidées
2008-02;"Nucléaire";38,9;Données Consolidées
2008-03;"Nucléaire";37,203;Données Consolidées
2008-04;"Nucléaire";34,294;Données Consolidées
2008-05;"Nucléaire";31,972;Données Consolidées
2008-06;"Nucléaire";28,517;Données Consolidées
2008-07;"Nucléaire";31,835;Données Consolidées
2008-08;"Nucléaire";32,025;Données Consolidées
2008-09;"Nucléaire";31,239;Données Consolidées
2008-10;"Nucléaire";33,949;Données Consolidées
2008-11;"Nucléaire";36,113;Données Consolidées
2008-12;"Nucléaire";41,309;Données Consolidées
2009-01;"Nucléaire";43,093;Données Consolidées
2009-02;"Nucléaire";37,051;Données Consolidées
2009-03;"Nucléaire";35,932;Données Consolidées
2009-04;"Nucléaire";30,862;Données Consolidées
